Date,simple_week,simple_day,simple_month,Open,KOR_short_ir,Dollar_index,Dowjones_index,Dow_medibio_index,Dow_medical_index,Nasdaq_index,Kosdaq_index,Kosdaq_trans,Kosdaq_medical_index,Kosdaq_medical_trans,Kospi_trans,new_confirm,agg_confirm,new_death,agg_confirm,new_confirm_t1,agg_confirm_t1,new_death_t1,agg_confirm_t1,new_confirm_t2,agg_confirm_t2,new_death_t2,agg_confirm_t2,keyword_cvd19,keyword_confirm,keyword_death,keyword_cvd19t1,keyword_confirmt1,keyword_deatht1,keyword_cvd19t2,keyword_confirmt2,keyword_deatht2,kospi_index
2018-02-21,8,4,2,1,1.5,0.02,0.25,0.21,0.06,0.19,0.93,0.31,0.89,0.34,0.32,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.9
2018-02-22,8,5,2,1,1.5,0.01,0.29,0.2,0.06,0.19,0.92,0.35,0.87,0.28,0.21,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.89
2018-02-23,8,6,2,1,1.5,0.02,0.36,0.28,0.09,0.22,0.93,0.28,0.88,0.34,0.16,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.92
2018-02-24,8,7,2,0,1.5,0.02,0.36,0.28,0.09,0.22,0.93,0.28,0.88,0.34,0.16,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.92
2018-02-25,9,1,2,0,1.5,0.02,0.36,0.28,0.09,0.22,0.93,0.28,0.88,0.34,0.16,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.92
2018-02-26,9,2,2,1,1.5,0.02,0.45,0.33,0.12,0.24,0.92,0.3,0.89,0.42,0.18,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.93
2018-02-27,9,3,2,1,1.5,0.02,0.38,0.26,0.09,0.22,0.92,0.3,0.88,0.48,0.14,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.92
2018-02-28,9,4,2,1,1.5,0.03,0.3,0.19,0.06,0.21,0.89,0.32,0.84,0.31,0.23,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.9
2018-03-01,9,5,3,0,1.5,0.02,0.22,0.14,0.04,0.18,0.89,0.32,0.84,0.31,0.23,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.9
2018-03-02,9,6,3,1,1.5,0.02,0.21,0.18,0.05,0.2,0.9,0.28,0.84,0.25,0.18,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.87
2018-03-03,9,7,3,0,1.5,0.02,0.21,0.18,0.05,0.2,0.9,0.28,0.84,0.25,0.18,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.87
2018-03-04,10,1,3,0,1.5,0.02,0.21,0.18,0.05,0.2,0.9,0.28,0.84,0.25,0.18,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.87
2018-03-05,10,2,3,1,1.5,0.02,0.27,0.22,0.06,0.22,0.87,0.26,0.83,0.24,0.17,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.84
2018-03-06,10,3,3,1,1.5,0.01,0.27,0.2,0.05,0.23,0.9,0.32,0.86,0.22,0.27,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.88
2018-03-07,10,4,3,1,1.5,0.01,0.25,0.22,0.06,0.23,0.86,0.43,0.84,0.25,0.29,0.37,0.3,0.36,0.3,0.37,0.3,0.36,0.3,0.37,0.31,0.36,0.3,0.33,0.41,0.46,0.33,0.41,0.46,0.33,0.41,0.46,0.87
